ts	imei	mwra	c.android.youtube	c.dogalize	c.android.gm	c.katana	c.android.chrome	c.raider	c.android.vending	c.UCMobile.intl	c.UCMobile.x86	c.updateassist
2018-05-05 10:00:00	3590433799317661107	0.00000	11.65403	10.65335	10.48791	16.91620	5.04564	36.21508	14.24956	4.09319	15.20934	5.11764
2018-05-05 10:01:00	3590433799317662063	1.00000	10.29551	10.46363	10.98438	15.65637	14.82931	24.83765	57.49911	23.94919	8.82448	44.13570
2018-05-05 10:02:00	863033069630348313	0.00000	12.12831	9.53752	6.78080	6.98948	10.92433	3.29441	20.37891	52.55353	49.51037	99.75215
2018-05-05 10:03:00	359043379931766114	1.00000	11.06419	11.55759	8.87744	11.84499	15.45902	24.78878	36.40299	25.77644	21.84167	65.17774
2018-05-05 10:04:00	3590433799317661842	1.00000	12.08457	10.42860	9.82241	12.48869	12.85363	40.98237	74.13316	96.77450	18.48116	90.77304
2018-05-05 10:05:00	3590433799317661750	1.00000	12.13042	14.89825	6.20204	12.29101	10.83393	81.11798	21.13161	68.68282	95.48359	71.73950
2018-05-05 10:06:00	359043379931766601	0.00000	12.01269	13.05445	10.56076	13.07538	5.03539	73.29980	66.48207	19.66798	10.09031	88.58453
2018-05-05 10:07:00	8630330696303482196	0.00000	9.08592	6.59736	9.29239	9.52371	8.86505	77.80399	54.85359	70.65739	65.57419	98.31877
2018-05-05 10:08:00	863033069630348792	1.00000	11.79240	10.41682	9.79777	9.65120	10.90437	35.45851	16.47060	31.25045	83.42513	28.77908
2018-05-05 10:09:00	3590433799317661693	0.00000	9.38617	10.23776	9.62490	12.35313	9.33203	0.93320	71.65957	35.87216	3.62546	84.61630
2018-05-05 10:10:00	359043379931766460	1.00000	14.49224	13.64860	6.87924	12.84578	11.72325	51.60207	9.12314	34.66799	56.65628	87.44686
2018-05-05 10:11:00	359043379931766817	1.00000	5.96653	17.21979	13.69348	14.79160	8.56007	80.06007	87.68802	1.78685	61.26944	57.26651
2018-05-05 10:12:00	8630330696303482287	0.00000	7.75787	11.79750	13.67660	11.89775	8.84893	54.90537	15.26900	13.00026	88.11325	72.28287
2018-05-05 10:13:00	8630330696303481198	1.00000	8.05549	10.62742	9.87716	11.45690	9.03135	56.76739	14.92145	16.36081	86.16997	15.46658
2018-05-05 10:14:00	8630330696303481214	0.00000	14.98892	8.86102	8.61506	7.22779	9.30947	76.05169	81.55480	53.70220	56.36047	20.36977
2018-05-05 10:15:00	8630330696303481594	0.00000	9.76882	9.98831	10.20250	10.74806	2.86301	93.07949	68.72723	85.30626	0.67142	85.78510
2018-05-05 10:16:00	863033069630348271	0.00000	10.62377	7.93581	8.78968	13.05069	9.87852	21.01681	54.80305	8.33761	12.63772	86.95818
2018-05-05 10:17:00	359043379931766270	0.00000	8.29216	10.22077	8.91439	12.46792	8.80232	89.22650	4.16407	66.17147	4.81870	82.45267
2018-05-05 10:18:00	359043379931766122	1.00000	7.82491	11.25061	9.06531	11.76600	8.64689	53.31490	46.38029	75.95242	71.11134	58.92596
2018-05-05 10:19:00	8630330696303481578	1.00000	11.58541	10.91512	10.57146	13.56578	13.07682	81.41749	79.08264	62.85732	100.00000	47.28665
2018-05-05 10:20:00	8630330696303482386	1.00000	9.85529	9.95980	12.53436	15.38421	13.56594	35.94147	44.21297	71.58203	57.88270	56.32551
2018-05-05 10:21:00	8630330696303482139	0.00000	9.11268	11.41839	6.34512	8.65558	13.19700	66.50837	21.51154	90.00469	87.04167	86.72222
2018-05-05 10:22:00	3590433799317661321	0.00000	8.36399	14.46958	12.23278	12.24359	7.70620	21.42845	87.85367	94.44145	34.83710	16.91340
2018-05-05 10:23:00	863033069630348321	0.00000	10.51980	6.51055	7.56172	13.92174	6.99116	15.19843	23.29644	84.96020	54.81708	68.77717
2018-05-05 10:24:00	8630330696303482477	1.00000	15.03141	11.56436	6.43871	9.28965	11.31551	40.21433	63.09509	74.66243	68.22500	26.11146
2018-05-05 10:25:00	8630330696303481610	1.00000	8.08665	13.42573	14.04577	13.93008	9.75863	32.94623	92.28175	35.86579	54.81178	46.41900
2018-05-05 10:26:00	8630330696303481792	0.00000	8.62324	9.95415	8.68297	10.48921	8.47348	0.49652	43.66906	42.46675	72.77532	55.16575
2018-05-05 10:27:00	359043379931766809	1.00000	11.67042	9.92397	9.99680	13.23173	11.49707	61.43531	71.66637	68.10288	81.86339	35.56141
2018-05-05 10:28:00	359043379931766577	1.00000	11.39523	10.84769	8.74838	14.50386	14.70696	26.71375	41.39490	51.08824	91.18619	99.48103
2018-05-05 10:29:00	863033069630348412	0.00000	9.12649	12.37879	7.46098	19.11575	9.68663	79.03042	97.16580	96.69491	58.97746	40.55038
