latitude	longitude	store_name	code	location	imei
18.57677	-72.22625	Croix-des-Bouquets	HT	America/Port-au-Prince	3590433799317662113
-25.54073	152.70493	Maryborough	AU	Australia/Brisbane	8630330696303481107
50.88506	4.07601	Denderleeuw	BE	Europe/Brussels	8630330696303481461
48.15659	28.28489	Soroca	MD	Europe/Chisinau	3590433799317661016
-34.64966	-58.38341	Barracas	AR	America/Argentina/Buenos_Aires	3590433799317662253
14.66	120.56528	Pilar	PH	Asia/Manila	3590433799317661131
13.56667	-15.6	Farafenni	GM	Africa/Banjul	8630330696303481461
46.32313	-0.45877	Niort	FR	Europe/Paris	359043379931766593
49.5099	6.74549	Losheim	DE	Europe/Berlin	3590433799317661875
37.73604	-120.93549	Riverbank	US	America/Los_Angeles	8630330696303482196
51.26	-2.1875	Westbury	GB	Europe/London	3590433799317661305
38.58894	-89.99038	Fairview Heights	US	America/Chicago	8630330696303481685
50.56149	4.69889	Gembloux	BE	Europe/Brussels	863033069630348669
37.73222	115.70111	Hengshui	CN	Asia/Shanghai	3590433799317661594
-4.83	29.65806	Mwandiga	TZ	Africa/Dar_es_Salaam	8630330696303481693
-24.19436	29.00974	Mokopane	ZA	Africa/Johannesburg	863033069630348891
48.8222	2.12213	Le Chesnay	FR	Europe/Paris	3590433799317661255
29.65163	-82.32483	Gainesville	US	America/New_York	8630330696303481230
50.75767	-1.5443	Lymington	GB	Europe/London	863033069630348164
43.32393	5.4584	Les Olives	FR	Europe/Paris	863033069630348933
18.51957	73.85535	Pune	IN	Asia/Kolkata	3590433799317662428
-22.97056	-46.99583	Valinhos	BR	America/Sao_Paulo	8630330696303481644
10.7375	122.9666	Talisay	PH	Asia/Manila	3590433799317661305
49.88307	-119.48568	Kelowna	CA	America/Vancouver	863033069630348347
51.78771	56.36091	Saraktash	RU	Asia/Yekaterinburg	359043379931766551
-17.74431	-48.62789	Caldas Novas	BR	America/Sao_Paulo	8630330696303482147
-13.7804	34.4587	Salima	MW	Africa/Blantyre	3590433799317661529
45.39402	9.29109	San Giuliano Milanese	IT	Europe/Rome	3590433799317661669
12.18441	18.69303	Mongo	TD	Africa/Ndjamena	3590433799317662089
53.16167	6.76111	Hoogezand	NL	Europe/Amsterdam	359043379931766106
