ts	imei	mwra	p.android.chrome	p.android.documentsui	p.android.gm	p.system	p.android.packageinstaller	p.android.settings	p.android.externalstorage	p.android.gms	p.katana	p.browser.provider	p.dogalize	p.simulator	p.google	p.android.vending	p.inputmethod.latin	p.process.gapps	p.notifier	p.olauncher	p.gms.persistent	p.android.defcontainer
2018-05-05 10:00:00	3590433799317661107	0.00000	7.41473	10.17656	14.80917	12.14702	11.55620	8.33912	14.02450	73.80657	0.01502	70.03289	65.61120	50.11483	53.37584	68.21001	61.69014	42.31022	4.82212	90.97861	53.94759	20.98954
2018-05-05 10:01:00	3590433799317662063	1.00000	9.40603	6.57378	6.06519	10.56643	16.74062	13.78434	7.57297	18.42794	0.01253	56.25066	47.85939	64.64494	15.73793	58.42507	57.04862	40.09440	16.63539	30.11126	40.51207	64.61017
2018-05-05 10:02:00	863033069630348313	0.00000	13.61225	11.73312	8.99679	10.79425	12.60312	10.78121	11.90788	60.61602	0.00536	44.88770	52.33884	25.01553	42.88480	17.22521	13.74976	50.38813	42.62046	96.70838	43.37143	98.71501
2018-05-05 10:03:00	359043379931766114	1.00000	8.14970	9.53996	8.28249	10.80629	13.97670	12.73047	11.64714	48.03340	0.03681	43.87590	28.18437	55.22909	59.59616	78.03742	20.18875	20.99686	90.73121	86.05335	99.16606	95.92975
2018-05-05 10:04:00	3590433799317661842	1.00000	8.20358	8.94156	8.62248	8.33003	13.44049	13.31239	11.40689	43.77363	0.01229	16.34465	71.31165	60.24955	52.48479	13.37139	51.12877	70.85514	39.65245	29.01586	6.11403	65.87936
2018-05-05 10:05:00	3590433799317661750	1.00000	9.02489	10.06582	8.34360	7.58067	11.01829	11.03283	14.25279	31.97427	1.02749	39.63063	61.93747	57.48899	87.03815	54.39438	31.62432	16.19902	11.26560	28.09998	66.60009	42.91186
2018-05-05 10:06:00	359043379931766601	0.00000	7.59853	12.61531	9.59973	11.72415	10.78353	11.39908	15.69844	42.35548	0.16263	83.41961	51.54422	42.00015	57.38764	49.73087	73.27584	10.27069	23.39625	28.06395	32.84379	59.70863
2018-05-05 10:07:00	8630330696303482196	0.00000	9.83059	12.87481	11.57660	11.10714	13.32940	9.94690	10.23231	55.66219	0.00079	56.57675	40.73885	46.72565	26.23580	78.88886	65.17574	60.58584	18.77673	56.54998	15.12413	19.86788
2018-05-05 10:08:00	863033069630348792	1.00000	11.43870	12.87926	7.44247	11.96223	14.94866	10.95209	12.16844	27.83542	0.01203	31.94282	45.17724	53.78340	53.46725	89.09496	90.18749	60.43244	59.61268	58.82509	31.57957	15.32532
2018-05-05 10:09:00	3590433799317661693	0.00000	4.76062	11.38498	14.92597	12.06474	12.49963	12.28839	14.20803	30.25942	0.01016	55.46509	39.68364	55.69958	49.96666	39.67143	80.09560	19.67773	24.40355	45.39082	66.60281	33.13286
2018-05-05 10:10:00	359043379931766460	1.00000	11.10459	9.72058	6.29500	6.88042	10.73946	14.22934	9.62671	49.36594	0.29481	53.45012	75.37598	30.89082	67.00422	56.75187	42.17009	66.25062	38.85517	78.89549	7.92506	33.94688
2018-05-05 10:11:00	359043379931766817	1.00000	15.08969	9.93941	13.77506	12.02103	12.59206	3.80189	11.39548	35.86790	10.46420	33.49943	57.85613	56.54845	28.03496	51.27623	98.46406	45.98779	61.45744	88.80097	71.84934	14.80716
2018-05-05 10:12:00	8630330696303482287	0.00000	11.35982	9.08881	7.49421	10.21660	10.94128	7.93368	9.98982	63.94772	0.04657	40.23896	71.46871	53.99872	54.74429	80.30270	58.25592	72.62539	43.18827	76.21207	61.47434	15.76185
2018-05-05 10:13:00	8630330696303481198	1.00000	12.25294	9.36329	7.18099	11.42112	11.50707	10.09732	9.80967	37.76407	0.01477	41.35239	34.99431	60.10305	11.81492	40.75946	72.86220	89.99181	8.08840	92.27030	62.04737	25.50770
2018-05-05 10:14:00	8630330696303481214	0.00000	10.11751	12.48419	6.11049	10.99541	12.64236	9.57865	12.48900	44.77327	0.00277	39.74763	35.99778	50.08383	43.96688	41.15270	12.34448	61.50635	81.07124	90.81793	80.12300	91.41957
2018-05-05 10:15:00	8630330696303481594	0.00000	14.06952	12.09190	11.00043	14.42408	12.47848	15.67002	11.75084	41.46289	0.00834	52.71616	44.50942	52.03065	36.48710	15.48092	73.69643	52.64412	43.84761	43.96059	73.37456	32.32956
2018-05-05 10:16:00	863033069630348271	0.00000	8.38064	8.81944	13.68765	15.41007	12.32947	13.48151	12.26770	58.94711	0.00140	39.95083	48.83578	35.34652	44.81279	79.07694	20.90849	5.10559	99.64434	45.67246	37.43345	67.81453
2018-05-05 10:17:00	359043379931766270	0.00000	10.35459	14.70181	11.15274	11.91855	12.46430	11.09877	12.43496	31.51053	0.01014	38.22251	61.51169	44.54412	36.61421	49.05451	56.46662	84.98980	73.98850	5.50634	48.64087	10.38991
2018-05-05 10:18:00	359043379931766122	1.00000	12.07154	9.72372	8.07370	11.78827	10.63112	8.02476	9.79452	45.76973	0.02744	55.06053	47.18501	38.62816	52.65398	49.52266	62.03909	62.38941	57.06661	64.46803	70.42783	71.50471
2018-05-05 10:19:00	8630330696303481578	1.00000	8.01811	8.63660	7.56544	8.33420	13.29050	13.61839	10.89858	24.71034	0.01957	64.69113	72.31405	51.43012	83.63066	96.26243	25.31129	74.20842	83.42984	29.78401	76.55016	81.50287
2018-05-05 10:20:00	8630330696303482386	1.00000	7.88650	7.51140	9.01980	8.95909	16.02116	13.38541	11.96780	66.22880	0.00782	63.51274	76.77646	34.44064	55.98721	81.89917	82.15015	14.32268	90.76557	9.12354	49.59672	84.62634
